filename,Title,Artist,Year,Link,Copyright,Institution,Fag
ANSK05969.jpg,Groteske situationer,Danske billeder,1863,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659995/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK08208.jpg,Dagrovfugle,"Schuberts Naturgeschichte des Tier-, Pflanzen- u. Mineralreichs. 2 Teil",1878,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652574/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK08975.jpg,Fisketavle IV,Ursing & Richter,1939,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1653519/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK04453.jpg,Monumentet i London,"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1816,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299229/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK12247.jpg,Hørbryde,Eschners teknologiske tavler,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652709/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Fysik
ANSK09280.jpg,Gaard og Have - bagsidetekst,Det Nordiske Forlags Billeder af Dyrelivet ved T. Bang,1903,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1668801/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK04449.jpg,Bemærkelsesværdige byer ved Rhinen,"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1816,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299363/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK04469.jpg,David spiller for Saul,Morgan,1888,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1660216/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK05970.jpg,Kulisser,Danske billeder,1863,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1654920/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK04319.jpg,Det underjordiske Herculaneum,"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1802,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299364/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK09971.jpg,"Rug, havre og hvede",Svenska växter,1939,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1657985/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Botanik
ANSK12508.jpg,Kalv,Richters parteringstavler,1942,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1660534/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Husgerning
ANSK04475.jpg,Opvækkelsen af enkens søn fra Nain,Morgan,1888,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1656189/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK09004.jpg,Insekttavle 5: Sommerfugle,Andersen og Balslev,1911,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659725/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK09740.jpg,Blomme og kvæde (dublet),Planteriget,1879,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659931/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Botanik
ANSK08858.jpg,Pung- og kloakdyr,"Eichelberg, Naturhistoriche Wandatlas",1870,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1655221/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK13967.jpg,Jacobine Ryes fonetiske plancher. 8. (Tekst),Ukendt,1924,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652500/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Talehandikappede/fonetik
ANSK09060.jpg,Skade og krage,Bilder av svenske djur,1928,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1657049/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK06341.jpg,Medlidende sjæle,Gertrud Caspari,1905,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1658926/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK15964.jpg,Fugle,Bilder zum Anschauungsunterricht für die Jugend. 2. Teil,1891,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669458/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK05300.jpg,Rajgræsset blandt hveden,Religious Tract Society,1870,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1656231/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK08198.jpg,"Schreiber, pattedyr XXIV: Drøvtyggere.","Schuberts Naturgeschichte des Tier-, Pflanzen- u. Mineralreichs. 1 Teil",1877,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659006/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK12347.jpg,Planchefremstilling-2b,Planchefremstilling,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1654701/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Fysik
ANSK08720.jpg,Bisamrotte,Meinholds Wanderbilder für den Unterricht in der Zoologie,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1657095/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK08792.jpg,Gedde og Karpe,Meinholds Wanderbilder für den Unterricht in der Zoologie,1895,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652318/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK09819.jpg,Tobaksplante,Engleders Wandtafeln für den naturkundlichen Unterricht,1911,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1654506/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Botanik
ANSK13597.jpg,Tabel 109.,Regnetabeller.,1818,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1660679/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Indbyrdes Undervisning
ANSK04328.jpg,Peruvianske dragter,"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1805,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299244/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK10861.jpg,Bladformer,Ruprechts naturhistoriske Wand-Atlas,1870,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1654894/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Botanik
ANSK10970.jpg,Olaf Tryggvasons ankomst til Norge,"Billeder til Norges Historie, 1. udgave ved Asbjørn Knutsen",1878,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1660736/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Historie
ANSK04768.jpg,Samuel,Nelson's Bible Wall-Pictures,1906,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669532/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK07018.jpg,Finland,Bilder aus Russland,1907,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1654944/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK15266.jpg,Pyranäen-Halbinsel kort i fire dele,C. Diercke Schulwandkarten,1900,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1976644/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK16097.jpg,Gårdspladsen,Barnets Hjem: Billedbog til Anskuelses-Undervisning,1880,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669833/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK12843.jpg,Hjerte,"Grønvalds Store Konturer, Række 1",1880,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652567/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Formning
ANSK09664.jpg,Pattedyr,Vægtavler over dyreriget,1879,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1660457/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK04681.jpg,Jakobs Drøm,Nelson's Bible Wall-Pictures,1904,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1654564/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK08019.jpg,Kort over Frankrig,Christensens og Clemmesens europakort,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1976510/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK16182.jpg,Forside,"Schuberts Naturgeschichte des Tier-, Pflanzen- u. Mineralreichs. 2 Teil",1878,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669198/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK12744.jpg,12.,Norske tegneplancher,1876,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652209/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Formning
ANSK09025.jpg,Egern,Bilder av svenske djur,1919,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1660366/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
